Current Temperature 	 Average Temperature 
28.473 	28.082 
27.984 	28.082 
27.984 	28.082 
27.496 	27.984 
27.496 	27.887 
28.961 	27.984 
29.937 	28.375 
30.426 	28.863 
30.914 	29.547 
30.914 	30.230 
31.402 	30.719 
30.914 	30.914 
30.426 	30.914 
29.937 	30.719 
29.449 	30.426 
29.449 	30.035 
28.961 	29.645 
28.473 	29.254 
27.984 	28.863 
27.984 	28.570 
27.984 	28.277 
27.984 	28.082 
27.984 	27.984 
27.496 	27.887 
27.496 	27.789 
27.008 	27.594 
27.008 	27.398 
27.008 	27.203 
27.984 	27.301 
28.473 	27.496 
28.961 	27.887 
